date,PM2.5,PM10,NO2,SO2,CO,O3
2019-01-03 23:00:00,105.8,167.3,52.3,24.0,34.1,40.5
2019-01-04 00:00:00,81.7,126.2,53.6,24.9,37.3,39.6
2019-01-04 01:00:00,105.7,181.3,47.1,29.8,25.6,51.7
2019-01-04 02:00:00,42.9,66.2,48.8,17.0,44.3,48.2
2019-01-04 03:00:00,94.6,144.2,51.6,21.1,35.8,34.0
2019-01-04 04:00:00,83.6,142.4,27.2,16.3,34.7,41.2
2019-01-04 05:00:00,78.3,127.3,56.0,17.7,32.4,48.6
2019-01-04 06:00:00,86.3,156.3,47.1,16.3,17.0,51.8
2019-01-04 07:00:00,60.6,91.8,60.7,19.9,41.1,33.9
2019-01-04 08:00:00,95.0,147.0,69.3,24.4,45.1,33.8
2019-01-04 09:00:00,107.6,184.2,86.7,18.6,58.2,37.3
2019-01-04 10:00:00,120.4,177.3,82.9,21.1,46.3,45.1
2019-01-04 11:00:00,82.7,143.2,62.2,15.9,45.9,79.2
2019-01-04 12:00:00,72.8,107.7,54.0,16.6,29.2,82.1
2019-01-04 13:00:00,75.4,125.2,51.4,13.5,29.1,87.5
2019-01-04 14:00:00,96.6,136.8,51.6,18.6,29.0,95.1
2019-01-04 15:00:00,89.9,144.2,62.8,19.5,36.2,72.3
2019-01-04 16:00:00,82.5,120.7,87.1,20.1,44.4,51.2
2019-01-04 17:00:00,105.9,189.9,73.4,16.5,45.8,44.4
2019-01-04 18:00:00,103.7,154.8,85.3,21.9,55.7,37.9
2019-01-04 19:00:00,112.8,171.1,68.0,19.3,48.2,25.3
2019-01-04 20:00:00,79.9,132.2,57.0,16.1,30.0,36.8
2019-01-04 21:00:00,80.0,123.2,46.6,20.9,38.6,44.7
2019-01-04 22:00:00,76.9,128.5,62.3,20.7,23.1,43.5
2019-01-04 23:00:00,60.4,92.3,56.5,19.6,18.8,44.2
2019-01-05 00:00:00,86.3,131.3,47.5,25.8,27.0,47.3
2019-01-05 01:00:00,85.8,137.0,52.3,22.2,23.6,45.2
2019-01-05 02:00:00,81.9,121.1,56.7,33.4,32.8,40.0
2019-01-05 03:00:00,78.3,128.4,60.2,18.1,33.8,47.8
2019-01-05 04:00:00,60.7,102.4,54.0,20.6,34.7,52.2
2019-01-05 05:00:00,76.1,126.0,52.2,14.5,30.1,48.5
2019-01-05 06:00:00,79.4,132.2,65.2,17.8,29.4,49.0
2019-01-05 07:00:00,78.0,109.8,54.1,10.8,35.0,35.4
2019-01-05 08:00:00,95.4,148.3,59.2,22.7,45.9,36.9
2019-01-05 09:00:00,107.9,170.2,90.6,25.0,52.0,40.4
2019-01-05 10:00:00,126.2,220.2,71.0,18.9,52.7,49.8
2019-01-05 11:00:00,92.7,142.9,73.6,12.0,29.3,81.2
2019-01-05 12:00:00,88.4,121.1,70.0,31.0,37.9,82.8
2019-01-05 13:00:00,81.4,122.0,66.4,18.1,32.7,90.6
2019-01-05 14:00:00,53.7,82.4,27.5,17.9,43.6,85.7
2019-01-05 15:00:00,84.2,116.5,61.1,24.1,34.5,79.6
2019-01-05 16:00:00,91.0,154.4,58.9,15.4,47.9,56.2
2019-01-05 17:00:00,134.8,194.5,69.4,16.7,46.8,37.9
2019-01-05 18:00:00,99.0,162.8,83.6,23.7,52.4,35.6
2019-01-05 19:00:00,102.4,152.6,69.6,26.8,47.8,36.0
2019-01-05 20:00:00,89.5,156.8,68.9,19.0,38.9,31.2
2019-01-05 21:00:00,67.0,105.4,65.2,13.2,34.5,43.6
2019-01-05 22:00:00,99.6,154.5,49.8,25.0,37.1,45.5
2019-01-05 23:00:00,93.2,154.0,53.6,8.5,37.9,34.9
2019-01-06 00:00:00,93.4,140.0,46.8,22.7,32.8,45.3
2019-01-06 01:00:00,67.9,112.5,54.2,13.5,35.5,50.5
2019-01-06 02:00:00,102.5,159.1,61.8,18.4,27.5,40.0
2019-01-06 03:00:00,60.5,93.2,53.8,21.8,37.0,46.3
2019-01-06 04:00:00,90.4,143.8,49.6,15.4,30.8,53.8
2019-01-06 05:00:00,114.9,171.4,61.8,18.0,37.5,54.3
2019-01-06 06:00:00,69.3,109.6,51.3,18.0,38.4,47.3
2019-01-06 07:00:00,81.2,132.7,59.8,19.6,33.3,49.9
2019-01-06 08:00:00,99.0,135.6,69.2,21.1,45.3,44.5
2019-01-06 09:00:00,93.9,160.6,67.9,20.2,51.7,32.0
2019-01-06 10:00:00,74.3,124.9,67.6,20.4,37.2,52.9
2019-01-06 11:00:00,90.7,128.4,63.3,25.6,29.7,72.0
2019-01-06 12:00:00,68.3,95.5,56.4,27.4,35.1,90.9
2019-01-06 13:00:00,89.2,150.3,43.7,22.6,26.9,86.0
2019-01-06 14:00:00,68.4,114.6,47.4,21.7,26.2,89.7
2019-01-06 15:00:00,107.5,178.6,39.4,12.6,39.5,64.4
2019-01-06 16:00:00,78.0,113.6,80.3,8.3,50.5,60.6
2019-01-06 17:00:00,92.7,165.2,86.2,18.5,47.4,35.4
2019-01-06 18:00:00,113.7,173.3,74.8,27.9,56.6,27.7
2019-01-06 19:00:00,79.0,128.4,75.6,19.0,54.3,31.7
2019-01-06 20:00:00,93.1,151.4,55.8,23.8,28.8,34.9
2019-01-06 21:00:00,103.8,182.6,62.7,19.2,35.3,36.1
2019-01-06 22:00:00,58.0,93.5,56.5,21.0,39.0,46.6
2019-01-06 23:00:00,84.3,138.5,40.1,17.0,36.9,46.6
2019-01-07 00:00:00,85.1,135.5,42.6,24.0,32.7,43.2
2019-01-07 01:00:00,92.9,137.5,49.8,20.3,27.4,43.2
2019-01-07 02:00:00,62.6,85.7,61.5,16.3,36.9,34.8
2019-01-07 03:00:00,61.4,98.4,47.4,12.3,30.9,45.2
2019-01-07 04:00:00,89.1,130.0,61.0,24.0,31.3,46.4
2019-01-07 05:00:00,86.2,141.0,53.7,22.1,20.2,45.6
2019-01-07 06:00:00,87.6,141.5,47.8,21.2,37.9,41.2
2019-01-07 07:00:00,94.6,152.5,59.4,15.8,34.1,48.6
2019-01-07 08:00:00,87.0,130.0,79.5,24.0,46.3,35.5
2019-01-07 09:00:00,104.7,178.3,87.1,16.6,49.7,41.1
2019-01-07 10:00:00,101.6,167.4,81.9,24.7,51.2,54.5
2019-01-07 11:00:00,78.7,116.6,64.4,15.5,31.8,66.2
2019-01-07 12:00:00,111.9,202.2,58.0,14.0,30.6,89.6
2019-01-07 13:00:00,88.9,140.4,69.4,20.1,29.3,88.9
2019-01-07 14:00:00,64.0,93.8,70.6,23.5,23.6,91.4
2019-01-07 15:00:00,93.7,142.9,54.8,24.1,41.3,72.1
2019-01-07 16:00:00,74.8,108.4,48.6,21.1,38.8,39.7
2019-01-07 17:00:00,109.0,189.2,75.4,25.9,37.0,49.2
2019-01-07 18:00:00,118.6,202.5,81.3,21.5,36.9,34.5
2019-01-07 19:00:00,84.9,142.1,64.3,20.7,48.8,43.4
2019-01-07 20:00:00,103.9,171.9,63.7,8.5,37.3,41.1
2019-01-07 21:00:00,90.1,155.4,46.1,15.0,36.2,59.9
2019-01-07 22:00:00,94.1,148.3,54.2,25.5,33.2,37.0
2019-01-07 23:00:00,109.7,180.2,55.3,15.5,26.3,50.4
2019-01-08 00:00:00,77.2,117.3,54.5,18.7,21.8,48.0
2019-01-08 01:00:00,69.6,110.3,58.2,18.1,36.9,39.3
2019-01-08 02:00:00,67.6,111.1,54.0,15.0,30.4,38.3
2019-01-08 03:00:00,68.7,88.7,56.6,17.0,20.5,52.1
2019-01-08 04:00:00,79.8,122.8,60.7,19.9,41.3,35.9
2019-01-08 05:00:00,86.6,140.0,47.6,14.3,31.4,48.7
2019-01-08 06:00:00,87.8,139.7,53.2,18.4,24.3,50.0
2019-01-08 07:00:00,101.5,157.9,59.8,16.6,32.8,45.9
2019-01-08 08:00:00,97.1,161.1,68.3,20.6,49.3,30.0
2019-01-08 09:00:00,122.7,187.7,77.9,24.6,42.0,37.3
2019-01-08 10:00:00,93.0,137.4,81.0,27.0,40.7,46.5
2019-01-08 11:00:00,129.9,223.3,68.4,20.6,35.0,77.1
2019-01-08 12:00:00,93.0,158.5,40.8,15.1,32.9,91.8
2019-01-08 13:00:00,68.7,105.8,65.0,27.2,33.7,90.3
2019-01-08 14:00:00,65.5,104.3,58.0,22.1,30.9,82.9
2019-01-08 15:00:00,90.9,153.1,56.2,17.3,22.6,81.4
2019-01-08 16:00:00,85.8,137.6,51.6,18.5,44.8,58.8
2019-01-08 17:00:00,107.6,177.9,64.8,16.8,47.1,52.8
2019-01-08 18:00:00,108.0,177.9,92.3,23.8,41.8,33.7
2019-01-08 19:00:00,95.8,150.3,82.3,25.0,52.5,34.7
2019-01-08 20:00:00,76.4,126.2,71.7,21.8,39.2,39.8
2019-01-08 21:00:00,60.9,91.5,53.3,25.6,37.7,48.1
2019-01-08 22:00:00,74.8,122.6,61.6,19.8,29.3,50.5
2019-01-08 23:00:00,93.8,149.4,39.4,31.9,23.3,48.2
2019-01-09 00:00:00,83.9,131.2,40.3,19.5,25.4,46.1
2019-01-09 01:00:00,62.0,91.4,58.3,10.4,31.2,48.0
2019-01-09 02:00:00,83.3,134.3,42.9,24.7,27.3,45.6
2019-01-09 03:00:00,86.5,138.7,49.9,18.1,26.4,43.4
2019-01-09 04:00:00,67.5,102.3,36.1,25.5,16.3,57.6
2019-01-09 05:00:00,83.5,120.3,28.3,21.6,23.2,53.1
2019-01-09 06:00:00,84.2,120.9,46.1,16.7,28.5,47.8
2019-01-09 07:00:00,71.7,113.0,59.5,19.6,41.7,40.6
2019-01-09 08:00:00,102.0,166.4,66.8,12.8,48.8,32.2
2019-01-09 09:00:00,109.1,194.7,85.2,16.3,52.4,41.9
2019-01-09 10:00:00,112.9,180.2,82.3,21.7,50.9,46.6
2019-01-09 11:00:00,104.7,150.5,67.4,23.9,41.5,74.7
2019-01-09 12:00:00,62.7,99.0,45.0,24.1,25.7,90.2
2019-01-09 13:00:00,67.2,116.0,55.4,17.0,29.4,98.6
2019-01-09 14:00:00,89.0,136.4,41.4,25.5,30.9,92.7
2019-01-09 15:00:00,91.1,155.9,69.2,20.2,37.7,67.1
2019-01-09 16:00:00,96.6,156.3,62.9,23.1,32.0,59.7
2019-01-09 17:00:00,154.5,257.1,67.4,25.5,42.9,49.2
2019-01-09 18:00:00,109.2,195.1,80.6,21.3,52.8,39.8
2019-01-09 19:00:00,113.7,161.1,75.6,15.5,45.2,36.9
2019-01-09 20:00:00,103.2,174.4,68.2,26.0,48.4,35.3
2019-01-09 21:00:00,93.1,148.1,39.2,22.3,26.9,35.7
2019-01-09 22:00:00,76.5,115.2,45.5,22.2,36.3,36.6
2019-01-09 23:00:00,92.1,146.5,54.2,14.1,29.6,53.9
2019-01-10 00:00:00,68.9,121.8,56.4,26.0,27.5,40.2
2019-01-10 01:00:00,76.9,133.3,76.3,22.2,34.8,50.6
2019-01-10 02:00:00,73.2,102.5,61.2,13.3,43.8,47.5
2019-01-10 03:00:00,81.7,124.4,44.6,19.0,14.3,39.2
2019-01-10 04:00:00,115.3,195.3,64.5,19.7,26.5,41.6
2019-01-10 05:00:00,53.0,84.7,55.6,20.3,21.8,38.3
2019-01-10 06:00:00,93.5,149.4,65.1,19.1,33.7,45.7
2019-01-10 07:00:00,64.5,93.1,66.2,20.1,35.6,39.9
2019-01-10 08:00:00,89.4,136.4,85.7,24.8,50.0,39.0
2019-01-10 09:00:00,116.8,171.0,88.8,19.7,40.4,34.6
2019-01-10 10:00:00,97.4,139.8,78.6,17.3,39.1,68.0
2019-01-10 11:00:00,72.5,106.9,59.0,20.8,35.3,64.2
2019-01-10 12:00:00,72.4,109.2,50.7,25.6,26.4,88.9
2019-01-10 13:00:00,91.3,139.1,43.5,23.8,17.5,90.0
2019-01-10 14:00:00,70.2,106.3,50.5,8.5,29.5,94.5
2019-01-10 15:00:00,86.4,147.1,63.1,13.6,35.5,79.2
2019-01-10 16:00:00,89.4,134.9,67.1,11.1,37.1,62.1
2019-01-10 17:00:00,86.7,151.1,68.0,22.2,55.6,39.0
2019-01-10 18:00:00,132.6,205.8,87.9,25.5,49.7,36.5
2019-01-10 19:00:00,106.0,174.2,64.8,19.8,49.2,36.1
2019-01-10 20:00:00,58.3,96.0,65.1,20.7,38.8,40.8
2019-01-10 21:00:00,86.0,129.8,65.4,15.2,34.8,42.6
2019-01-10 22:00:00,71.1,111.4,41.6,25.6,33.0,35.7
2019-01-10 23:00:00,93.3,144.6,51.6,16.2,35.9,45.0
2019-01-11 00:00:00,68.4,112.0,44.5,25.5,27.2,43.9
2019-01-11 01:00:00,78.6,124.7,63.1,17.0,29.1,44.8
2019-01-11 02:00:00,87.9,134.0,68.1,28.2,29.6,38.5
2019-01-11 03:00:00,93.3,150.4,54.5,13.0,29.2,33.6
2019-01-11 04:00:00,62.4,101.9,57.2,14.8,25.2,41.9
2019-01-11 05:00:00,75.9,135.4,61.9,25.9,10.8,36.3
2019-01-11 06:00:00,75.9,121.9,60.3,25.8,24.9,38.2
2019-01-11 07:00:00,78.7,126.0,55.8,18.7,42.4,44.9
2019-01-11 08:00:00,122.8,201.7,70.6,13.3,48.4,43.5
2019-01-11 09:00:00,106.4,160.1,76.5,7.6,51.0,37.9
2019-01-11 10:00:00,77.4,110.5,60.3,27.0,48.5,53.2
2019-01-11 11:00:00,102.3,160.5,70.3,22.1,40.0,59.5
2019-01-11 12:00:00,114.8,196.1,44.2,20.8,44.6,88.4
2019-01-11 13:00:00,96.4,166.2,57.7,16.6,30.8,98.3
2019-01-11 14:00:00,58.2,82.1,45.3,18.1,37.8,81.1
2019-01-11 15:00:00,75.7,126.2,52.4,24.4,37.5,63.5
2019-01-11 16:00:00,107.5,148.5,66.9,14.4,35.6,68.3
2019-01-11 17:00:00,85.7,141.0,86.3,24.3,40.5,47.6
2019-01-11 18:00:00,107.0,175.4,87.1,23.3,48.2,45.3
2019-01-11 19:00:00,107.9,154.1,73.2,28.0,45.5,45.8
2019-01-11 20:00:00,74.6,126.8,62.2,22.7,35.7,38.4
2019-01-11 21:00:00,82.1,145.7,44.7,24.4,32.2,32.8
2019-01-11 22:00:00,32.2,51.4,56.0,12.9,25.6,36.1
2019-01-11 23:00:00,65.0,104.9,49.6,18.9,28.0,54.5
2019-01-12 00:00:00,76.4,133.5,42.6,19.5,30.3,42.9
2019-01-12 01:00:00,61.4,91.4,56.3,21.9,29.2,49.4
2019-01-12 02:00:00,104.7,155.9,61.4,20.6,31.5,43.3
2019-01-12 03:00:00,58.7,89.0,48.6,25.0,27.3,54.4
2019-01-12 04:00:00,73.6,118.1,45.7,20.7,26.8,45.6
2019-01-12 05:00:00,82.7,132.6,46.3,15.7,31.3,33.6
2019-01-12 06:00:00,104.5,161.4,57.3,14.9,37.6,32.0
2019-01-12 07:00:00,66.9,105.0,52.8,27.6,37.9,39.6
2019-01-12 08:00:00,113.6,175.7,74.7,21.5,47.4,33.8
2019-01-12 09:00:00,100.3,155.6,76.8,20.7,51.5,34.3
2019-01-12 10:00:00,81.5,124.1,78.1,21.3,45.5,55.6
2019-01-12 11:00:00,95.3,145.3,67.0,21.0,42.2,66.0
2019-01-12 12:00:00,85.9,120.2,45.1,18.5,33.1,82.3
2019-01-12 13:00:00,71.8,113.3,56.4,23.1,38.5,102.2
2019-01-12 14:00:00,81.9,115.0,54.7,25.1,27.0,91.7
2019-01-12 15:00:00,77.1,129.1,52.6,24.3,33.7,71.5
2019-01-12 16:00:00,90.1,139.1,58.9,19.8,36.8,58.5
2019-01-12 17:00:00,106.1,168.5,70.7,14.8,43.8,46.0
2019-01-12 18:00:00,124.0,193.7,78.7,13.6,46.1,35.3
2019-01-12 19:00:00,77.6,122.3,66.6,24.8,50.2,35.4
2019-01-12 20:00:00,120.4,207.8,56.9,17.6,40.1,52.8
2019-01-12 21:00:00,53.6,78.5,55.7,20.8,42.3,43.2
2019-01-12 22:00:00,78.5,112.8,46.3,15.7,30.5,53.2
2019-01-12 23:00:00,89.1,143.6,57.2,21.0,34.8,44.0
2019-01-13 00:00:00,84.3,130.7,49.0,25.6,26.6,46.9
2019-01-13 01:00:00,70.7,115.7,46.2,26.5,29.3,42.3
2019-01-13 02:00:00,77.0,128.6,52.7,13.1,23.4,44.8
2019-01-13 03:00:00,72.7,108.3,46.8,23.5,31.6,47.6
2019-01-13 04:00:00,71.3,118.4,43.9,15.6,35.1,59.2
2019-01-13 05:00:00,93.4,139.9,48.2,28.8,39.4,50.9
2019-01-13 06:00:00,88.1,141.7,37.7,29.7,31.9,50.6
2019-01-13 07:00:00,77.9,115.0,46.6,21.9,39.0,33.9
2019-01-13 08:00:00,109.6,176.8,66.7,20.5,52.0,37.2
2019-01-13 09:00:00,104.7,167.3,70.5,19.1,58.8,34.8
2019-01-13 10:00:00,108.3,161.3,79.2,27.4,43.5,62.8
2019-01-13 11:00:00,97.7,143.1,72.4,20.8,44.5,68.1
2019-01-13 12:00:00,70.4,117.8,56.7,21.5,35.3,88.1
2019-01-13 13:00:00,72.3,112.4,35.8,18.9,32.6,93.5
2019-01-13 14:00:00,91.9,156.4,39.7,20.2,40.3,78.9
2019-01-13 15:00:00,91.9,142.1,56.9,22.7,22.0,77.5
2019-01-13 16:00:00,88.0,152.2,61.0,22.2,34.0,61.6
2019-01-13 17:00:00,97.8,147.3,59.2,24.5,43.5,36.9
2019-01-13 18:00:00,119.2,208.3,73.2,21.2,53.4,44.1
2019-01-13 19:00:00,87.2,141.1,65.4,19.3,40.2,43.9
2019-01-13 20:00:00,96.5,158.3,74.0,21.6,41.9,39.4
2019-01-13 21:00:00,79.7,119.6,59.7,21.2,28.9,39.9
2019-01-13 22:00:00,77.4,129.5,48.6,16.4,34.2,45.9
2019-01-13 23:00:00,96.6,162.0,52.0,9.5,29.6,44.3
2019-01-14 00:00:00,92.4,144.8,51.2,15.2,41.0,51.3
2019-01-14 01:00:00,92.2,127.9,50.6,13.8,23.6,37.7
2019-01-14 02:00:00,99.6,148.3,64.6,24.4,34.1,39.9
2019-01-14 03:00:00,80.3,119.6,61.3,15.3,32.0,53.1
2019-01-14 04:00:00,90.3,148.6,62.3,27.1,28.5,52.5
2019-01-14 05:00:00,75.9,118.0,53.5,16.3,33.1,45.7
2019-01-14 06:00:00,87.6,136.2,51.4,23.0,29.3,38.9
2019-01-14 07:00:00,86.3,133.2,52.4,29.6,39.0,34.8
2019-01-14 08:00:00,97.5,170.3,66.1,23.0,42.6,39.7
2019-01-14 09:00:00,108.9,174.8,88.1,29.7,51.1,37.1
2019-01-14 10:00:00,83.8,135.7,63.8,15.3,48.1,53.5
2019-01-14 11:00:00,119.6,184.0,60.9,26.0,37.5,71.7
2019-01-14 12:00:00,67.6,108.0,43.0,16.5,36.4,93.3
2019-01-14 13:00:00,62.5,93.8,50.2,24.9,28.8,93.7
2019-01-14 14:00:00,98.0,160.2,42.5,19.7,32.3,97.9
2019-01-14 15:00:00,94.6,140.5,59.4,21.2,25.7,74.8
2019-01-14 16:00:00,97.6,163.4,60.4,19.9,35.6,66.0
2019-01-14 17:00:00,105.5,161.0,67.6,18.5,45.3,52.4
2019-01-14 18:00:00,99.8,169.2,72.4,20.6,58.8,37.1
2019-01-14 19:00:00,82.6,147.9,75.1,22.2,47.3,38.7
2019-01-14 20:00:00,89.4,143.0,62.7,12.5,38.7,40.4
2019-01-14 21:00:00,72.6,125.6,49.6,18.6,38.2,48.3
2019-01-14 22:00:00,95.2,159.5,48.3,23.3,25.4,48.2
2019-01-14 23:00:00,77.9,113.5,46.2,20.8,33.0,46.1
2019-01-15 00:00:00,67.6,108.9,32.6,24.8,32.7,46.4
2019-01-15 01:00:00,75.2,124.1,49.7,12.6,26.6,46.8
2019-01-15 02:00:00,86.2,143.1,37.6,21.6,33.3,53.8
2019-01-15 03:00:00,71.6,115.8,42.9,23.8,21.8,51.3
2019-01-15 04:00:00,67.7,109.5,52.7,18.6,33.0,54.3
2019-01-15 05:00:00,84.2,134.8,48.9,18.1,41.0,44.5
2019-01-15 06:00:00,86.4,139.4,66.3,26.7,37.4,41.0
2019-01-15 07:00:00,80.6,119.1,56.0,5.4,38.6,36.7
2019-01-15 08:00:00,88.9,140.2,70.7,17.5,42.6,39.4
2019-01-15 09:00:00,103.5,150.5,81.3,17.2,60.5,44.0
2019-01-15 10:00:00,74.3,115.2,73.7,23.1,32.3,56.0
2019-01-15 11:00:00,67.1,103.4,70.7,25.1,35.0,70.7
2019-01-15 12:00:00,71.9,110.4,59.2,25.4,31.7,87.9
2019-01-15 13:00:00,77.4,115.8,62.1,16.9,27.1,93.7
2019-01-15 14:00:00,85.3,138.8,38.0,21.3,28.2,100.6
2019-01-15 15:00:00,104.8,164.4,60.4,17.4,39.7,77.0
2019-01-15 16:00:00,101.1,157.5,54.5,25.2,35.8,51.9
2019-01-15 17:00:00,93.6,136.6,77.6,21.4,48.8,35.1
2019-01-15 18:00:00,99.7,156.6,78.0,19.7,49.5,34.7
2019-01-15 19:00:00,81.0,138.8,68.5,21.0,42.7,40.8
2019-01-15 20:00:00,87.9,150.9,71.7,24.7,46.5,39.5
2019-01-15 21:00:00,78.4,128.3,40.6,21.6,30.3,40.7
2019-01-15 22:00:00,85.4,134.1,65.4,18.5,37.8,45.2
2019-01-15 23:00:00,67.7,112.1,55.2,19.0,35.9,50.5
2019-01-16 00:00:00,87.8,134.6,51.4,23.7,24.4,53.0
2019-01-16 01:00:00,103.0,161.7,48.8,14.9,29.6,46.7
2019-01-16 02:00:00,78.4,119.6,47.0,24.8,43.2,53.3
2019-01-16 03:00:00,86.1,145.5,53.8,10.3,26.9,43.1
2019-01-16 04:00:00,90.4,151.8,39.0,20.4,34.0,48.1
2019-01-16 05:00:00,74.6,119.1,26.3,16.7,34.9,44.3
2019-01-16 06:00:00,86.1,152.6,54.8,34.3,29.8,44.9
2019-01-16 07:00:00,88.4,145.1,56.4,8.4,42.4,39.6
2019-01-16 08:00:00,97.5,159.5,66.7,18.4,37.6,42.1
2019-01-16 09:00:00,88.4,143.7,67.4,16.6,55.3,50.0
2019-01-16 10:00:00,96.4,142.1,83.7,24.2,46.8,49.9
2019-01-16 11:00:00,95.7,144.6,76.9,26.3,26.2,74.1
2019-01-16 12:00:00,104.5,166.6,53.7,19.5,30.8,84.8
2019-01-16 13:00:00,95.1,151.6,49.7,6.7,21.8,93.5
2019-01-16 14:00:00,113.0,187.4,54.4,29.6,25.3,100.7
2019-01-16 15:00:00,71.2,109.2,57.0,25.0,30.4,75.7
